image_id,from Dataset,Visual inspection
ISIC_0010588,train,Ignore
ISIC_0010589,train,Ignore
ISIC_0010596,train,
ISIC_0010603,train,Ignore
ISIC_0010847,train,Ignore
ISIC_0010857,train,Ignore
ISIC_0011079,train,
ISIC_0011112,train,
ISIC_0011121,train,Ignore
ISIC_0011126,train,
ISIC_0011158,train,Ignore
ISIC_0011159,train,Ignore
ISIC_0011167,train,Ignore
ISIC_0011300,train,Ignore
ISIC_0011322,train,Ignore
ISIC_0011347,train,Ignore
ISIC_0011361,train,Ignore
ISIC_0011387,train,
ISIC_0011402,train,Ignore
ISIC_0012386,train,
ISIC_0012749,train,Ignore
ISIC_0012962,train,Ignore
ISIC_0012999,train,Ignore
ISIC_0013310,train,Ignore
ISIC_0013584,train,Ignore
ISIC_0013585,train,
ISIC_0013685,train,Ignore
ISIC_0013707,train,Ignore
ISIC_0014076,train,
ISIC_0014133,train,
ISIC_0014189,train,Ignore
ISIC_0014341,train,
ISIC_0014365,train,Ignore
ISIC_0014385,train,Ignore
ISIC_0014581,train,Ignore
ISIC_0014664,train,
ISIC_0014714,train,
ISIC_0014726,train,
ISIC_0014735,train,
ISIC_0014760,train,
ISIC_0014762,train,Ignore
ISIC_0014775,train,Ignore
ISIC_0014791,train,
ISIC_0014819,train,
ISIC_0014922,train,
ISIC_0014951,train,
ISIC_0015038,train,
ISIC_0015168,train,
ISIC_0015220,train,Ignore
ISIC_0015284,train,
ISIC_0015295,train,
ISIC_0009995,validation,Ignore
ISIC_0010459,validation,Ignore
ISIC_0012254,validation,Ignore
ISIC_0013828,validation,
ISIC_0014037,validation,Ignore
ISIC_0014212,validation,Ignore
ISIC_0014688,validation,Ignore
ISIC_0014712,validation,Ignore
ISIC_0014857,validation,Ignore
ISIC_0014937,validation,Ignore
ISIC_0014979,validation,Ignore
ISIC_0014985,validation,Ignore
ISIC_0015062,validation,Ignore
ISIC_0015243,validation,
ISIC_0015256,validation,Ignore
ISIC_0015313,validation,
ISIC_0015372,validation,Ignore
ISIC_0015445,validation,Ignore
ISIC_0012134,test,Ignore
ISIC_0012136,test,Ignore
ISIC_0012215,test,Ignore
ISIC_0012240,test,Ignore
ISIC_0012265,test,Ignore
ISIC_0012356,test,Ignore
ISIC_0012375,test,Ignore
ISIC_0012414,test,Ignore
ISIC_0012428,test,Ignore
ISIC_0012510,test,Ignore
ISIC_0012837,test,Ignore
ISIC_0012848,test,Ignore
ISIC_0013073,test,Ignore
ISIC_0013169,test,Ignore
ISIC_0013321,test,Ignore
ISIC_0013473,test,Ignore
ISIC_0013708,test,Ignore
ISIC_0013813,test,Ignore
ISIC_0013814,test,Ignore
ISIC_0013833,test,Ignore
ISIC_0014077,test,Ignore
ISIC_0014506,test,Ignore
ISIC_0014634,test,Ignore
ISIC_0014653,test,Ignore
ISIC_0014663,test,
ISIC_0014666,test,Ignore
ISIC_0014693,test,Ignore
ISIC_0014703,test,Ignore
ISIC_0014740,test,
ISIC_0014746,test,
ISIC_0014753,test,
ISIC_0014766,test,Ignore
ISIC_0014784,test,Ignore
ISIC_0014787,test,Ignore
ISIC_0014790,test,Ignore
ISIC_0014807,test,
ISIC_0014833,test,Ignore
ISIC_0014868,test,
ISIC_0014872,test,Ignore
ISIC_0014883,test,
ISIC_0014932,test,Ignore
ISIC_0014948,test,Ignore
ISIC_0014957,test,
ISIC_0014961,test,Ignore
ISIC_0014963,test,
ISIC_0014973,test,
ISIC_0014982,test,Ignore
ISIC_0015002,test,
ISIC_0015004,test,Ignore
ISIC_0015008,test,Ignore
ISIC_0015009,test,Ignore
ISIC_0015011,test,Ignore
ISIC_0015013,test,Ignore
ISIC_0015019,test,
ISIC_0015020,test,Ignore
ISIC_0015031,test,Ignore
ISIC_0015037,test,
ISIC_0015064,test,
ISIC_0015078,test,Ignore
ISIC_0015089,test,Ignore
ISIC_0015102,test,
ISIC_0015118,test,Ignore
ISIC_0015119,test,Ignore
ISIC_0015142,test,Ignore
ISIC_0015163,test,Ignore
ISIC_0015167,test,
ISIC_0015171,test,Ignore
ISIC_0015176,test,Ignore
ISIC_0015185,test,
ISIC_0015203,test,Ignore
ISIC_0015216,test,Ignore
ISIC_0015224,test,Ignore
ISIC_0015229,test,Ignore
ISIC_0015237,test,
ISIC_0015255,test,Ignore
ISIC_0015258,test,Ignore
ISIC_0015274,test,Ignore
ISIC_0015311,test,
ISIC_0015363,test,Ignore
ISIC_0015390,test,Ignore
ISIC_0015404,test,
ISIC_0015416,test,Ignore
ISIC_0015419,test,Ignore
ISIC_0015447,test,Ignore
ISIC_0015485,test,Ignore
ISIC_0015537,test,Ignore
ISIC_0015607,test,Ignore
ISIC_0015636,test,Ignore
